student_id,attendance_percentage,test1_marks,test2_marks,fees_paid
STU001,96,94,92,true
STU002,42,28,35,false
STU003,73,68,72,false
STU004,98,96,95,true
STU005,35,22,25,false
STU006,85,82,80,true
STU007,61,58,60,true
STU008,74,70,72,false
STU009,55,48,52,false
STU010,81,79,78,true
STU011,93,91,90,true
STU012,47,35,38,false
STU013,97,95,96,true
STU014,68,62,64,false
STU015,58,52,55,false
STU016,39,25,30,false
STU017,86,83,84,true
STU018,49,40,42,false
STU019,95,94,93,true
STU020,71,68,70,false
STU021,66,60,63,false
STU022,98,97,96,true
STU023,52,46,48,false
STU024,77,74,75,true
