student_id,total_fees,amount_paid,fees_paid
STU001,50000,50000,true
STU002,55000,10000,false
STU003,45000,20000,false
STU004,50000,50000,true
STU005,50000,0,false
STU006,55000,55000,true
STU007,45000,45000,true
STU008,50000,25000,false
STU009,60000,30000,false
STU010,55000,55000,true
STU011,50000,50000,true
STU012,45000,10000,false
STU013,55000,55000,true
STU014,60000,30000,false
STU015,50000,15000,false
STU016,45000,0,false
STU017,55000,55000,true
STU018,60000,25000,false
STU019,50000,50000,true
STU020,45000,30000,false
STU021,55000,20000,false
STU022,60000,60000,true
STU023,50000,25000,false
STU024,45000,45000,true
STU025,55000,50000,true
STU026,60000,10000,false
STU027,50000,50000,true
STU028,45000,45000,true
STU029,55000,30000,false
STU030,60000,60000,true
STU031,50000,50000,true
STU032,45000,15000,false
STU033,55000,0,false
STU034,60000,50000,true
STU035,50000,35000,false
STU036,45000,20000,false
STU037,55000,55000,true
STU038,60000,10000,false
STU039,50000,50000,true
STU040,45000,25000,false
STU041,55000,55000,true
STU042,60000,60000,true
STU043,50000,10000,false
STU044,45000,30000,false
STU045,55000,5000,false
STU046,60000,45000,true
STU047,50000,50000,true
STU048,45000,15000,false
STU049,55000,40000,true
STU050,60000,20000,false
